date,lat[unit="degrees_north"],lon[unit="degrees_east"],dir[unit="degree"],mod[unit="m s-1"],mslp[unit="Pa"],prec[unit="kg m-2"],rh[unit="1"],temp[unit="K"],wind_gust[unit="m s-1"]
2015-10-17T04:00:00Z,43.30409333859623,-5.88658785664861,151.71776,1.4811245,101140.46,0.0,0.79437923,282.1857,2.654263
2015-10-17T05:00:00Z,43.30409333859623,-5.88658785664861,126.74604,0.92483616,101132.05,0.0,0.8398605,281.95807,1.751179
2015-10-17T06:00:00Z,43.30409333859623,-5.88658785664861,114.62589,1.2323675,101127.06,0.0,0.90437615,281.87744,2.3451152
2015-10-17T07:00:00Z,43.30409333859623,-5.88658785664861,114.35789,1.4634042,101095.59,0.0,0.94254017,281.97476,2.772072
2015-10-17T08:00:00Z,43.30409333859623,-5.88658785664861,110.65963,1.2504182,101131.66,0.0,0.9376082,283.16626,2.3460233
2015-10-17T09:00:00Z,43.30409333859623,-5.88658785664861,87.46327,0.9966456,101148.74,0.0,0.882932,287.2998,1.8380635
2015-10-17T10:00:00Z,43.30409333859623,-5.88658785664861,43.542263,2.1549633,101099.03,0.0,0.72297776,290.33032,2.468586
2015-10-17T11:00:00Z,43.30409333859623,-5.88658785664861,53.492104,2.4448423,100991.85,0.0,0.68405664,292.01886,2.6313555
2015-10-17T12:00:00Z,43.30409333859623,-5.88658785664861,54.96021,2.4472523,100940.77,0.0,0.6288858,293.63605,2.6743174
2015-10-17T13:00:00Z,43.30409333859623,-5.88658785664861,51.68251,1.9595517,100924.34,0.0,0.5908583,294.51074,2.4144917
2015-10-17T14:00:00Z,43.30409333859623,-5.88658785664861,26.74292,2.610812,100926.79,0.0,0.65091246,293.95557,2.2163932
2015-10-17T15:00:00Z,43.30409333859623,-5.88658785664861,53.74337,1.7297983,100887.6,0.0,0.7193653,292.81326,2.7435746
2015-10-17T16:00:00Z,43.30409333859623,-5.88658785664861,80.68013,1.6670446,100856.64,0.0,0.7627951,292.10126,2.9890957
2015-10-17T17:00:00Z,43.30409333859623,-5.88658785664861,85.155624,0.9889111,100868.87,0.0,0.86790776,290.9523,1.6830728
2015-10-17T18:00:00Z,43.30409333859623,-5.88658785664861,79.2618,1.2481034,100905.09,0.0,0.91312927,289.57587,2.3148868
2015-10-17T19:00:00Z,43.30409333859623,-5.88658785664861,110.49129,1.4797046,100910.53,0.0,0.917282,288.19943,2.779122
2015-10-17T20:00:00Z,43.30409333859623,-5.88658785664861,121.42155,1.404295,100912.49,0.0,0.9063101,287.47864,2.6677709
2015-10-17T21:00:00Z,43.30409333859623,-5.88658785664861,117.94745,1.5275502,100909.08,0.0,0.9119894,286.92944,2.931224
2015-10-17T22:00:00Z,43.30409333859623,-5.88658785664861,94.87125,1.6863669,100926.58,0.0,0.9144699,286.55588,3.2417626
2015-10-17T23:00:00Z,43.30409333859623,-5.88658785664861,91.05773,1.1056547,100898.94,0.0,0.92209923,286.71832,1.9950705
2015-10-18T00:00:00Z,43.30409333859623,-5.88658785664861,70.82739,0.32652682,100833.23,0.1,0.92223203,287.21713,0.61413914
2015-10-18T01:00:00Z,43.30409333859623,-5.88658785664861,72.784706,3.774707,100844.67,0.59999996,0.906807,287.91812,5.1511354
2015-10-18T02:00:00Z,43.30409333859623,-5.88658785664861,93.280685,3.3720326,100869.58,0.0,0.9202668,287.80392,4.959898
2015-10-18T03:00:00Z,43.30409333859623,-5.88658785664861,86.54967,2.2612424,100857.09,0.0,0.9499207,287.09976,4.240477
2015-10-18T04:00:00Z,43.30409333859623,-5.88658785664861,85.202095,1.7545807,100871.24,0.0,0.9457285,286.86487,3.2500134
2015-10-18T05:00:00Z,43.30409333859623,-5.88658785664861,19.795391,0.38973165,100951.92,0.0,0.9318,286.70993,0.77464366
2015-10-18T06:00:00Z,43.30409333859623,-5.88658785664861,317.47992,0.41784498,101058.3,0.0,0.9272586,286.3378,0.81101435
2015-10-18T07:00:00Z,43.30409333859623,-5.88658785664861,191.56567,0.5301193,101142.0,0.0,0.9174136,285.92557,1.0019904
2015-10-18T08:00:00Z,43.30409333859623,-5.88658785664861,171.55853,1.4451188,101240.28,0.0,0.9004531,286.1058,2.787826
2015-10-18T09:00:00Z,43.30409333859623,-5.88658785664861,184.05551,3.1021354,101320.5,0.0,0.81213826,287.90463,4.916215
2015-10-18T10:00:00Z,43.30409333859623,-5.88658785664861,189.79161,2.8470867,101357.87,0.0,0.7200226,290.55164,3.609939
2015-10-18T11:00:00Z,43.30409333859623,-5.88658785664861,212.4782,0.8946224,101341.14,0.0,0.5653379,293.61493,0.99018717
2015-10-18T12:00:00Z,43.30409333859623,-5.88658785664861,0.7483428,2.5043006,101341.27,0.0,0.5965144,293.63107,2.099923
2015-10-18T13:00:00Z,43.30409333859623,-5.88658785664861,12.07438,3.9574838,101370.66,0.0,0.6726056,293.1767,4.2961364
