date,lat[unit="degrees_north"],lon[unit="degrees_east"],dir[unit="degree"],mod[unit="m s-1"],mslp[unit="Pa"],prec[unit="kg m-2"],rh[unit="1"],temp[unit="K"]
2017-11-09T01:00:00Z,43.339286234347675,-5.858834520544583,219.91175842285156,2.46604061126709,103059.8984375,9.999999747378752E-5,0.8752444982528687,278.53863525390625
2017-11-09T02:00:00Z,43.339286234347675,-5.858834520544583,226.58958435058594,2.8880059719085693,103021.8984375,0.005600000265985727,0.8416773080825806,279.1891784667969
2017-11-09T03:00:00Z,43.339286234347675,-5.858834520544583,219.81700134277344,3.056687593460083,102982.234375,0.006300000008195639,0.8402780890464783,279.6205749511719
2017-11-09T04:00:00Z,43.339286234347675,-5.858834520544583,229.04345703125,2.995408773422241,103018.6484375,0.0010000001639127731,0.8375339508056641,280.22357177734375
2017-11-09T05:00:00Z,43.339286234347675,-5.858834520544583,236.19383239746094,2.622354507446289,103020.6875,0.0,0.8778570294380188,279.65380859375
2017-11-09T06:00:00Z,43.339286234347675,-5.858834520544583,240.455078125,2.285809278488159,103026.625,0.02800000086426735,0.8755714893341064,280.3786926269531
2017-11-09T07:00:00Z,43.339286234347675,-5.858834520544583,236.3427276611328,1.9216233491897583,103018.4921875,0.04399999976158142,0.8919062614440918,280.8446960449219
2017-11-09T08:00:00Z,43.339286234347675,-5.858834520544583,243.2794189453125,1.4709199666976929,103051.5390625,0.7480000257492065,0.9217288494110107,281.1364440917969
2017-11-09T09:00:00Z,43.339286234347675,-5.858834520544583,198.67562866210938,1.2075899839401245,103079.8046875,0.4569999575614929,0.9181577563285828,281.59619140625
2017-11-09T10:00:00Z,43.339286234347675,-5.858834520544583,217.50979614257812,1.0789071321487427,103104.640625,0.16000008583068848,0.8938706517219543,282.14862060546875
2017-11-09T11:00:00Z,43.339286234347675,-5.858834520544583,193.8696746826172,0.9714540243148804,103102.4921875,0.07999992370605469,0.8680269718170166,282.6105651855469
2017-11-09T12:00:00Z,43.339286234347675,-5.858834520544583,147.5067596435547,0.3898296654224396,103072.078125,0.0,0.8140547275543213,283.44525146484375
2017-11-09T13:00:00Z,43.339286234347675,-5.858834520544583,218.15098571777344,0.41801464557647705,103027.96875,0.009999990463256836,0.8183823823928833,283.5938720703125
2017-11-09T14:00:00Z,43.339286234347675,-5.858834520544583,227.5675811767578,0.9497575759887695,102975.234375,0.0,0.8317968845367432,283.7030029296875
2017-11-09T15:00:00Z,43.339286234347675,-5.858834520544583,233.69967651367188,1.0497360229492188,102945.5703125,0.03000009059906006,0.7964136600494385,284.6499938964844
2017-11-09T16:00:00Z,43.339286234347675,-5.858834520544583,272.9678039550781,2.09959077835083,102938.8125,0.0,0.8900324106216431,284.46673583984375
2017-11-09T17:00:00Z,43.339286234347675,-5.858834520544583,258.6532287597656,1.7437556982040405,102961.84375,0.0,0.919854998588562,284.31982421875
2017-11-09T18:00:00Z,43.339286234347675,-5.858834520544583,264.2823486328125,1.9842959642410278,102985.921875,0.019999980926513672,0.9422000050544739,284.32232666015625
2017-11-09T19:00:00Z,43.339286234347675,-5.858834520544583,269.2834777832031,1.4259636402130127,103014.125,0.24000000953674316,0.9560195207595825,284.3699951171875
2017-11-09T20:00:00Z,43.339286234347675,-5.858834520544583,291.3642883300781,1.363266944885254,103073.0703125,0.46999990940093994,0.9605066180229187,284.42193603515625
2017-11-09T21:00:00Z,43.339286234347675,-5.858834520544583,250.3080291748047,1.1097725629806519,103112.09375,0.059999942779541016,0.9651390910148621,284.4175109863281
2017-11-09T22:00:00Z,43.339286234347675,-5.858834520544583,265.2872009277344,2.9943814277648926,103108.65625,3.250000238418579,0.9605984091758728,284.4831848144531
2017-11-09T23:00:00Z,43.339286234347675,-5.858834520544583,336.80426025390625,3.984854221343994,103148.1953125,0.8399996757507324,0.979915976524353,285.198486328125
2017-11-10T00:00:00Z,43.339286234347675,-5.858834520544583,340.5974426269531,1.729061245918274,103148.3984375,0.26000022888183594,0.9999772906303406,284.0669860839844
2017-11-10T01:00:00Z,43.339286234347675,-5.858834520544583,333.7059020996094,1.7387609481811523,103135.40625,0.15999984741210938,1.0,283.5117492675781
2017-11-10T02:00:00Z,43.339286234347675,-5.858834520544583,272.89794921875,1.5714969635009766,103161.296875,0.3600001335144043,0.9999613165855408,283.0533752441406
2017-11-10T03:00:00Z,43.339286234347675,-5.858834520544583,250.8184051513672,2.140333414077759,103154.546875,0.28999996185302734,0.9790737628936768,284.2848815917969
2017-11-10T04:00:00Z,43.339286234347675,-5.858834520544583,246.59783935546875,2.8462557792663574,103122.8671875,0.49000024795532227,0.9837289452552795,284.20025634765625
2017-11-10T05:00:00Z,43.339286234347675,-5.858834520544583,262.7415771484375,2.4932122230529785,103147.5234375,0.5100002288818359,0.9999933242797852,284.4783020019531
2017-11-10T06:00:00Z,43.339286234347675,-5.858834520544583,261.853515625,2.5045111179351807,103121.0859375,1.169999122619629,1.0,284.92230224609375
2017-11-10T07:00:00Z,43.339286234347675,-5.858834520544583,332.55816650390625,3.6478514671325684,103209.5234375,1.2899999618530273,0.9859042763710022,285.12725830078125
2017-11-10T08:00:00Z,43.339286234347675,-5.858834520544583,245.24131774902344,1.8982230424880981,103273.328125,0.3000001907348633,0.9999793171882629,283.96417236328125
2017-11-10T09:00:00Z,43.339286234347675,-5.858834520544583,254.2707061767578,2.3997833728790283,103302.5625,0.3900003433227539,0.973687469959259,285.1212463378906
